,stock_apple
0,83.6603
1,84.5035
2,84.3935
3,84.4852
4,84.1919
5,83.3212
6,83.2479
7,82.7438
8,82.8171
9,83.312
10,84.3019
11,85.1726
12,85.7133
13,85.6766
14,86.1807
15,87.957
16,87.3905
17,87.4272
18,87.1018
19,87.2714
20,88.3987
21,87.363
22,86.8681
23,85.3191
24,86.5473
25,86.0973
26,86.8131
27,89.0769
28,88.9303
29,89.5178
30,90.7542
31,90.1676
32,89.9568
33,87.6197
34,88.1054
35,87.6105
36,87.1797
37,87.0331
38,87.0238
39,87.2633
40,88.4147
41,88.3963
42,89.566
43,89.8055
44,90.2476
45,91.3345
46,92.5964
47,92.6332
48,92.6424
49,93.324
50,93.5267
51,92.9271
52,94.0701
53,94.1807
54,94.4109
55,95.1478
56,91.1319
57,90.3766
58,91.1595
59,90.5976
60,90.2568
61,93.0293
62,93.4254
63,93.6372
64,93.6096
65,92.9003
66,93.5635
67,93.757
68,92.9925
69,93.0846
70,94.5399
71,93.7201
72,90.1463
73,92.799
74,92.2095
75,92.799
76,91.3529
77,92.0161
78,91.7582
79,91.7582
80,90.9569
81,92.8451
82,93.0477
83,92.7806
84,91.9332
85,90.9569
86,89.8424
87,88.6634
88,89.9621
89,91.8872
90,94.3833
91,94.8623
92,96.557
93,96.9163
94,96.8149
95,98.3163
96,98.869
97,98.5374
98,99.4769
99,100.7664
100,100.0295
101,100.269
102,100.5557
103,100.8425
104,100.676
105,101.4808
106,102.9147
107,104.367
108,105.6251
109,105.4494
110,106.8185
111,106.0784
112,107.5956
113,107.7436
114,109.7371
115,108.7889
116,110.084
117,110.0193
118,106.4485
119,106.0414
120,107.244
121,106.837
122,106.3837
123,103.9785
124,105.5696
125,103.5622
126,103.257
127,101.5086
128,100.1163
129,98.7472
130,101.2125
131,104.2098
132,103.405
133,104.4781
134,104.108
135,103.6177
136,105.4494
137,105.3754
138,104.0895
139,102.1099
140,101.1385
141,98.2893
142,98.2985
143,99.6769
144,103.5067
145,103.6177
146,101.0645
147,101.9618
148,101.5733
149,98.8166
150,98.0488
151,100.5742
152,101.342
153,103.9785
154,104.5151
155,104.6261
156,100.9628
157,106.6705
158,109.9915
159,108.3819
160,109.7417
161,109.7602
162,110.6021
163,111.3915
164,110.4534
165,111.1871
166,113.3232
167,115.9794
168,117.4468
169,118.0226
170,118.7191
171,119.541
172,119.2949
173,120.2654
174,123.5206
175,122.7498
176,119.6107
177,121.1199
178,119.3042
179,119.8893
180,120.1401
181,119.3785
182,117.4003
183,117.5768
184,118.0783
185,115.6357
186,113.5275
187,115.58
188,114.7813
189,116.0444
190,117.9854
191,119.3135
192,118.408
193,116.9267
194,118.1433
195,117.6604
196,114.5863
197,115.385
198,114.4655
199,117.3632
200,115.5614
201,115.3943
202,116.388
203,118.2733
204,117.0288
205,116.6481
206,117.5396
207,118.0411
208,117.809
209,117.2982
210,117.744
211,117.1774
212,115.8586
213,118.5055
214,117.8647
215,119.4528
216,120.428
217,120.9945
218,123.1956
219,121.2545
220,119.4714
221,116.2301
222,119.7593
223,119.5271
224,116.8338
225,116.1001
226,116.8183
227,119.0192
228,117.8068
229,117.3825
230,117.5177
231,120.2596
232,120.0917
233,121.416
234,121.3041
235,121.2948
236,122.5351
237,123.6076
238,120.8844
239,123.146
240,122.8988
241,121.4999
242,121.7378
243,121.2015
244,121.3507
245,120.6419
246,119.9798
247,119.1871
248,118.8327
249,120.1943
250,119.9238
251,118.5995
252,118.3664
253,119.0006
254,118.7208
255,119.2617
256,118.0679
257,119.0099
258,118.469
259,119.4762
260,118.9073
261,118.2078
262,116.1375
263,116.9721
264,118.0679
265,117.9187
266,117.5084
267,117.2193
268,114.3095
269,111.978
270,114.9717
271,117.1913
272,117.1447
273,118.2731
274,119.8492
275,120.8844
276,123.1693
277,121.9383
278,116.7809
279,116.725
280,116.1095
281,114.4961
282,115.065
283,114.7012
284,114.123
285,113.1251
286,110.4579
287,106.914
288,107.6228
289,107.857
290,108.2223
291,112.157
292,106.3206
293,107.96
294,107.8757
295,108.6345
296,109.7587
297,109.1404
298,107.7445
299,105.5336
300,99.0789
301,96.6057
302,97.1865
303,102.7606
304,105.7866
305,106.1332
306,105.6367
307,100.9151
308,105.2432
309,103.3977
310,102.3671
311,105.2151
312,103.1916
313,105.4587
314,106.9951
315,108.0256
316,108.9343
317,109.0561
318,106.7234
319,106.2831
320,107.9319
321,106.2362
322,107.0981
323,107.7352
324,107.4635
325,105.3369
326,102.1704
327,103.3321
328,102.6576
329,103.407
330,103.7818
331,104.2783
332,103.7818
333,102.5826
334,105.0371
335,104.55
336,104.728
337,103.2478
338,104.7935
339,104.0253
340,104.6717
341,106.5829
342,106.5735
343,108.2036
344,111.5574
345,107.9975
346,107.3136
347,111.7354
348,112.9158
349,111.9509
350,113.5248
351,114.827
352,114.293
353,113.7661
354,113.8978
355,113.4368
356,109.8616
357,109.2406
358,108.8737
359,105.6937
360,107.4201
361,106.9638
362,110.3508
363,111.7527
364,112.2419
365,110.7836
366,111.8468
367,111.047
368,110.8401
369,111.3011
370,110.3979
371,109.4006
372,108.3845
373,111.9879
374,111.2822
375,111.2352
376,108.7796
377,109.2971
378,106.484
379,105.8254
380,103.9531
381,104.7528
382,102.5325
383,99.757
384,100.9801
385,100.886
386,102.1844
387,101.6387
388,100.5002
389,102.3067
390,100.9707
391,99.0325
392,99.1172
393,96.6334
394,94.7423
395,90.7438
396,91.2236
397,92.7007
398,94.0461
399,91.6282
400,93.6321
401,91.3835
402,90.9413
403,91.0637
404,90.6026
405,95.4197
406,93.5569
407,94.0743
408,87.893
409,88.5234
410,91.5811
411,90.725
412,88.8903
413,90.6497
414,91.3781
415,88.9375
416,89.874
417,89.8551
418,89.174
419,88.6348
420,88.9092
421,91.4159
422,92.8159
423,91.0564
424,90.8483
425,91.6429
426,89.5713
427,90.9051
428,91.5294
429,91.6713
430,91.4632
431,95.0956
432,95.3037
433,96.0132
434,97.4416
435,96.3632
436,95.5686
437,95.6537
438,95.701
439,96.7321
440,96.978
441,98.9267
442,100.2415
443,100.0807
444,100.1942
445,100.1848
446,100.951
447,100.3929
448,99.9578
449,99.5037
450,101.8591
451,103.6375
452,103.0983
453,104.0442
454,105.1131
455,103.874
456,104.9618
457,102.6726
458,102.7861
459,103.1267
460,104.4699
461,105.9834
462,106.0402
463,103.9118
464,101.6699
465,101.1307
466,101.3388
467,100.2415
468,99.9672
469,99.3997
470,98.7091
471,92.5321
472,89.7037
473,88.6727
474,88.5781
475,90.0348
476,89.0983
477,88.7367
478,88.2418
479,88.3085
480,88.908
481,88.042
482,85.9768
483,86.1481
484,89.3458
485,88.9747
486,89.993
487,89.6504
488,90.6211
489,91.7727
490,93.1717
491,94.8086
492,95.5604
493,95.5033
494,95.037
495,93.7046
496,93.0004
497,93.1907
498,93.8664
499,94.2471
500,94.1614
501,94.8371
502,94.0567
503,92.6387
504,92.7529
505,92.4484
506,92.8386
507,90.7258
508,90.5069
509,91.2778
510,90.9352
511,91.4586
512,88.889
513,87.5947
514,89.0698
515,89.8407
516,90.9827
517,91.2587
518,90.4022
519,90.9161
520,91.3063
521,92.0106
522,92.2961
523,92.7148
524,92.1914
525,94.0187
526,94.0092
527,95.0084
528,95.0465
529,95.1322
530,94.6278
531,93.895
532,92.6387
533,92.0011
534,97.9778
535,99.3006
536,99.1769
537,100.928
538,99.4339
539,100.6806
540,101.3025
541,102.8431
542,103.6947
543,104.1157
544,103.3407
545,103.2737
546,103.5129
547,104.7568
548,104.6611
549,104.508
550,104.3741
551,104.642
552,103.8287
553,104.154
554,103.3694
555,102.9292
556,102.3264
557,102.2116
558,101.4269
559,101.5226
560,102.1254
561,103.0823
562,103.0536
563,103.6851
564,100.9676
565,98.6808
566,100.8911
567,103.2928
568,106.948
569,110.5841
570,109.9621
571,108.6799
572,108.6704
573,108.6512
574,109.6751
575,107.8475
576,108.0101
577,108.2111
578,109.034
579,107.3403
580,108.1728
581,107.6656
582,108.1249
583,108.1728
584,108.9765
585,109.1392
586,111.0434
587,111.2826
588,112.2777
589,111.9332
590,112.5552
591,112.4786
592,112.4021
593,112.0672
594,112.0098
595,111.5696
596,112.5743
597,113.1484
598,110.6032
599,109.5411
600,108.8139
601,108.6416
602,106.6801
603,106.7758
604,105.6313
605,104.6791
606,106.1891
607,106.8142
608,106.6411
609,103.6693
610,104.2848
611,101.6688
612,103.0153
613,105.7852
614,105.7467
615,105.8525
616,107.4586
617,107.526
618,106.9777
619,107.5163
620,107.3047
621,107.199
622,106.2949
623,105.3043
624,105.6986
625,104.9388
626,105.7467
627,106.7854
628,107.8337
629,109.5938
630,108.9686
631,110.7864
632,110.7864
633,111.3923
634,111.5365
635,112.1809
636,112.4791
637,112.5849
638,111.8443
639,112.0655
640,112.7772
641,112.2963
642,112.2675
643,111.3923
644,111.7097
645,111.5846
646,112.1521
647,113.4024
648,114.4411
649,114.5565
650,115.172
651,114.6911
652,114.4892
653,115.4125
654,115.4029
655,115.2009
656,115.4125
657,115.4894
658,115.3836
659,117.2206
660,117.2783
661,117.2879
662,116.9802
663,116.7109
664,123.828
665,123.6164
666,124.1454
667,125.3091
668,126.5017
669,126.9922
670,127.9099
671,127.6201
672,128.7502
673,130.4213
674,130.8946
675,130.7352
676,131.0975
677,132.0441
678,132.4401
679,131.8799
680,132.0054
681,132.2662
682,132.3242
683,135.0288
684,134.2271
685,135.0192
686,134.5942
687,134.768
688,134.2657
689,133.9566
690,134.401
691,134.4589
692,134.2561
693,135.676
694,135.8982
695,135.222
696,136.642
697,135.0771
698,136.6033
699,136.1203
700,135.8499
701,136.0817
702,138.9023
703,139.2114
704,139.0278
705,138.767
706,138.8057
707,139.8392
708,139.1148
709,138.767
710,138.4579
711,138.2937
712,136.8062
713,136.9704
714,136.2459
715,136.9994
716,136.3908
717,135.8885
718,137.5886
719,137.4244
720,138.7477
721,139.6074
722,138.7863
723,138.8926
724,138.7574
725,141.5876
726,142.4859
727,142.0512
728,141.5393
729,143.8865
730,147.7986
731,148.7452
732,148.0401
733,149.3204
734,151.4058
735,151.0178
736,150.7947
737,145.7317
738,147.9528
739,148.4572
740,149.3592
741,149.1749
742,148.7288
743,149.2428
744,148.9906
745,149.0488
746,148.1662
747,148.5736
748,150.7753
749,149.301
750,149.8054
751,150.6977
752,150.3291
753,144.4999
754,141.0469
755,142.1817
756,140.7947
757,139.9509
758,137.9917
759,141.9393
760,140.6493
761,141.4834
762,141.2506
763,141.8811
764,141.4349
765,139.4077
766,141.4446
767,139.3593
768,139.689
769,139.1847
770,139.7569
771,138.4378
772,139.8442
773,140.6978
774,141.1536
775,141.3573
776,143.3263
777,144.5581
778,145.0624
779,145.5668
780,146.4785
781,145.819
782,145.7511
783,147.5163
784,148.1468
785,148.8451
786,146.0324
787,145.0042
788,144.2574
789,153.8209
790,152.4145
791,150.8917
792,151.687
793,154.0343
794,155.2661
795,156.2166
796,151.2409
797,153.3441
798,155.6519
799,157.3559
800,156.723
801,153.7142
802,153.3636
803,153.0812
804,155.5837
805,155.7785
806,155.0871
807,155.6616
808,157.2293
809,158.6315
810,159.06
811,159.6929
812,159.7416
813,157.8233
814,157.6578
815,157.0249
816,154.4639
817,157.2586
818,156.6354
819,155.4571
820,154.1231
821,155.6811
822,154.5029
823,154.5613
824,151.9712
825,149.3616
826,147.9009
827,146.5961
828,149.1181
829,150.1795
830,149.2544
831,150.0724
832,149.7705
833,150.4229
834,149.4492
835,151.309
836,151.2214
837,151.7472
838,151.8056
839,152.4386
840,151.903
841,152.867
842,155.6811
843,156.2556
844,155.5643
845,151.8835
846,152.1464
847,152.0685
848,152.9741
849,152.3022
850,153.276
851,158.7679
852,162.3415
853,164.6005
854,162.507
855,163.695
856,167.9697
857,169.6737
858,170.219
859,171.6114
860,171.2609
861,170.6941
862,170.01
863,167.4399
864,165.2313
865,167.2054
866,166.277
867,166.1109
868,169.1989
869,170.9775
870,170.9873
871,170.1273
872,169.1305
873,165.6222
874,167.9383
875,167.1565
876,165.935
877,165.7786
878,165.1629
879,165.4659
880,165.5147
881,168.7396
882,167.7917
883,168.3487
884,168.2999
885,170.01
886,172.4043
887,170.5671
888,170.3814
889,171.0264
890,171.0264
891,166.6874
892,166.7167
893,167.1858
894,165.3779
895,168.339
896,168.3096
897,169.0914
898,171.0166
899,170.3814
900,170.3618
901,170.3228
902,171.2902
903,173.059
904,172.1795
905,175.0233
906,175.1796
907,174.3978
908,172.9711
909,173.0102
910,170.2544
911,167.2151
912,167.606
913,164.1368
914,163.1694
915,163.6189
916,163.9609
917,156.8467
918,152.9279
919,159.3191
920,155.9085
921,151.6184
922,153.473
923,159.6547
924,161.2541
925,164.2272
926,169.7417
927,169.1922
928,168.6231
929,167.8577
930,169.2609
931,172.2045
932,175.6094
933,175.0403
934,174.7753
935,171.7139
936,172.9012
937,173.4998
938,173.3526
939,171.7434
940,173.6175
941,176.6004
942,178.3077
943,176.5906
944,175.0893
945,175.2954
946,174.6772
947,172.0083
948,171.9494
949,168.054
950,165.6794
951,161.8428
952,169.5258
953,165.179
954,163.3539
955,164.6295
956,163.5502
957,165.228
958,168.3876
959,169.5552
960,165.2182
961,166.8569
962,169.9968
963,169.202
964,170.8701
965,171.449
966,172.5185
967,174.8931
968,174.5006
969,169.5552
970,162.6082
971,162.1372
972,159.8804
973,160.5771
974,161.1363
975,159.272
976,162.1568
977,165.9247
978,173.2544
979,173.5684
980,180.3781
981,181.6831
982,182.5564
983,183.8418
984,186.4715
985,185.7623
986,185.3288
987,183.6445
988,185.3584
989,184.1862
990,183.5164
991,184.8166
992,184.3537
993,185.5357
994,185.3288
995,185.7524
996,185.0826
997,184.6886
998,184.068
999,187.3875
1000,188.9537
1001,190.4115
1002,191.0714
1003,190.5592
1004,188.8256
1005,188.3627
1006,189.3969
1007,187.8406
1008,187.9391
1009,186.0085
1010,185.91
1011,182.9057
1012,183.7036
1013,182.6792
1014,182.1473
1015,179.4385
1016,181.6646
1017,181.3987
1018,182.7186
1019,182.3344
1020,184.3734
1021,181.1623
1022,182.6201
1023,185.1515
1024,187.7224
1025,187.4959
1026,185.0629
1027,188.1657
1028,188.4612
1029,188.0475
1030,188.5794
1031,187.5451
1032,189.0029
1033,188.5695
1034,188.737
1035,190.1061
1036,191.8988
1037,191.298
1038,188.1164
1039,187.0625
1040,187.4368
1041,198.4787
1042,204.2804
1043,204.8714
1044,205.9352
1045,204.0046
1046,204.1425
1047,205.748
1048,205.1352
1049,206.4597
1050,207.3296
1051,207.8139
1052,210.8584
1053,215.0692
1054,212.9737
1055,212.5585
1056,212.5684
1057,213.0034
1058,213.6656
1059,215.4251
1060,217.1648
1061,220.4069
1062,222.4333
1063,225.0033
1064,225.7248
1065,224.252
1066,220.5255
1067,218.7463
1068,215.8106
1069,221.2669
1070,218.519
1071,223.7973
1072,221.257
1073,215.3658
1074,215.7216
1075,215.8501
1076,217.491
1077,215.1483
1078,218.2422
1079,219.626
1080,217.8765
1081,222.3542
1082,223.1351
1083,224.6375
1084,226.6342
1085,229.392
1086,225.3591
1087,221.7018
1088,221.1878
1089,224.252
1090,213.8633
1091,211.9754
1092,219.547
1093,214.8518
1094,219.5865
1095,218.6376
1096,213.5272
1097,216.7793
1098,218.1038
1099,220.1598
1100,212.608
1101,217.2636
1102,213.804
1103,209.7909
1104,210.8386
1105,216.3345
1106,219.6557
1107,205.0858
1108,199.2638
1109,201.4186
1110,207.5273
1111,206.8032
1112,202.8157
1113,192.599
1114,190.6747
1115,185.2887
1116,189.8614
1117,191.9642
1118,184.3563
1119,175.5481
1120,175.3497
1121,170.8961
1122,173.2072
1123,172.8303
1124,179.4761
1125,178.0973
1126,177.1352
1127,183.3247
1128,175.2605
1129,173.3064
1130,167.1268
1131,168.2278
1132,167.2657
1133,167.7319
1134,169.5669
1135,164.1412
1136,162.6136
1137,164.7264
1138,159.5883
1139,155.5611
1140,149.5105
1141,145.6421
1142,155.8984
1143,154.8867
1144,154.966
1145,156.4638
1146,156.6423
1147,141.0396
1148,147.0605
1149,146.7332
1150,149.5303
1151,152.0696
1152,152.5557
1153,151.0579
1154,148.7864
1155,151.8316
1156,153.6864
1157,154.599
1158,155.5512
1159,152.0597
1160,152.6747
1161,151.4646
1162,156.4836
1163,155.0354
1164,153.4285
1165,163.913
1166,165.0934
1167,165.1728
1168,169.8645
1169,172.7708
1170,172.8303
1171,169.557
1172,169.7563
1173,168.7801
1174,170.2345
1175,169.5272
1176,170.1448
1177,169.7663
1178,170.2743
1179,171.3701
1180,170.4038
1181,172.3065
1182,173.5617
1183,173.6613
1184,174.1992
1185,172.4858
1186,174.2988
1187,175.1754
1188,174.8567
1189,173.8505
1190,171.8383
1191,172.2467
1192,178.2137
1193,180.216
1194,181.013
1195,183.0252
1196,185.406
1197,187.2988
1198,185.8145
1199,187.4382
1200,194.3416
1201,190.3171
1202,188.016
1203,186.0735
1204,187.747
1205,187.9961
1206,189.2214
1207,190.5064
1208,193.2757
1209,194.6006
1210,194.9393
1211,196.2443
1212,199.3324
1213,198.7347
1214,199.8504
1215,198.1868
1216,198.1071
1217,198.4658
1218,198.4857
1219,202.3508
1220,203.078
1221,203.7454
1222,206.6841
1223,206.3653
1224,204.4925
1225,203.5163
1226,203.8251
1227,199.9002
1228,209.7124
1229,208.3477
1230,210.9377
1231,207.6803
1232,202.0818
1233,202.1217
1234,199.95
1235,197.18
1236,185.72
1237,188.66
1238,190.92
1239,190.08
1240,189
1241,183.09
1242,186.6
1243,182.78
1244,179.66
1245,178.97
1246,178.23
1247,177.38
1248,178.3
1249,175.07
1250,173.3
1251,179.64
1252,182.54
1253,185.22
1254,190.15
1255,192.58
1256,194.81
1257,194.19
1258,194.335
1259,193.32
1260,193.94
1261,198.41
1262,198.1
1263,199.59
1264,199.78
1265,199.13
1266,195.95
1267,200.08
1268,200
1269,197.64
1270,201.85
1271,202.54
1272,204.37
1273,204.37
1274,204.55
1275,200.04
1276,200.94
1277,203.34
1278,202.51
1279,203.38
1280,205.1
1281,204.48
1282,203.41
1283,205.53
1284,202.435
1285,207
1286,208.48
1287,208.37
1288,206.8
1289,207.85
1290,209.76
1291,208.41
1292,213.14
1293,207.79
1294,203.7
1295,193.56
1296,197.035
1297,199.275
1298,203.27
1299,200.99
1300,200.68
1301,209.01
1302,202.87
1303,201.95
1304,206.71
1305,210.63
1306,210.64
1307,212.58
1308,212.44
1309,202.18
1310,205.83
1311,204.21
1312,205.41
1313,208.73
1314,208.225
1315,208.725
1316,205.73
1317,209.135
1318,213.17
1319,213.1
